node_id,values,exprs,parent_values,parent_exprs,parent_id,depth
1175,"(-3,)","('((1+6)-(4+6))',)","(10, 7)","('(4+6)', '(1+6)')",101.0,3
1176,"(70,)","('((4+6)*(1+6))',)","(10, 7)","('(4+6)', '(1+6)')",101.0,3
1177,"(1.4285714285714286,)","('((4+6)/(1+6))',)","(10, 7)","('(4+6)', '(1+6)')",101.0,3
1178,"(0.7,)","('((1+6)/(4+6))',)","(10, 7)","('(4+6)', '(1+6)')",101.0,3
1179,"(17,)","('((1+6)+(4+6))',)","(10, 7)","('(4+6)', '(1+6)')",101.0,3
1180,"(70,)","('((1+6)*(4+6))',)","(10, 7)","('(4+6)', '(1+6)')",101.0,3
1181,"(5,)","('((4+6)+(1-6))',)","(10, -5)","('(4+6)', '(1-6)')",102.0,3
1182,"(15,)","('((4+6)-(1-6))',)","(10, -5)","('(4+6)', '(1-6)')",102.0,3
1183,"(-15,)","('((1-6)-(4+6))',)","(10, -5)","('(4+6)', '(1-6)')",102.0,3
1184,"(-50,)","('((4+6)*(1-6))',)","(10, -5)","('(4+6)', '(1-6)')",102.0,3
1185,"(-2.0,)","('((4+6)/(1-6))',)","(10, -5)","('(4+6)', '(1-6)')",102.0,3
1186,"(-0.5,)","('((1-6)/(4+6))',)","(10, -5)","('(4+6)', '(1-6)')",102.0,3
1187,"(5,)","('((1-6)+(4+6))',)","(10, -5)","('(4+6)', '(1-6)')",102.0,3
1188,"(-50,)","('((1-6)*(4+6))',)","(10, -5)","('(4+6)', '(1-6)')",102.0,3
1189,"(15,)","('((4+6)+(6-1))',)","(10, 5)","('(4+6)', '(6-1)')",103.0,3
1190,"(5,)","('((4+6)-(6-1))',)","(10, 5)","('(4+6)', '(6-1)')",103.0,3
1191,"(-5,)","('((6-1)-(4+6))',)","(10, 5)","('(4+6)', '(6-1)')",103.0,3
1192,"(50,)","('((4+6)*(6-1))',)","(10, 5)","('(4+6)', '(6-1)')",103.0,3
1193,"(2.0,)","('((4+6)/(6-1))',)","(10, 5)","('(4+6)', '(6-1)')",103.0,3
1194,"(0.5,)","('((6-1)/(4+6))',)","(10, 5)","('(4+6)', '(6-1)')",103.0,3
1195,"(15,)","('((6-1)+(4+6))',)","(10, 5)","('(4+6)', '(6-1)')",103.0,3
1196,"(50,)","('((6-1)*(4+6))',)","(10, 5)","('(4+6)', '(6-1)')",103.0,3
1197,"(16,)","('((4+6)+(1*6))',)","(10, 6)","('(4+6)', '(1*6)')",104.0,3
1198,"(4,)","('((4+6)-(1*6))',)","(10, 6)","('(4+6)', '(1*6)')",104.0,3
1199,"(-4,)","('((1*6)-(4+6))',)","(10, 6)","('(4+6)', '(1*6)')",104.0,3
1200,"(60,)","('((4+6)*(1*6))',)","(10, 6)","('(4+6)', '(1*6)')",104.0,3
1201,"(1.6666666666666667,)","('((4+6)/(1*6))',)","(10, 6)","('(4+6)', '(1*6)')",104.0,3
1202,"(0.6,)","('((1*6)/(4+6))',)","(10, 6)","('(4+6)', '(1*6)')",104.0,3
1203,"(16,)","('((1*6)+(4+6))',)","(10, 6)","('(4+6)', '(1*6)')",104.0,3
1204,"(60,)","('((1*6)*(4+6))',)","(10, 6)","('(4+6)', '(1*6)')",104.0,3
1205,"(10.166666666666666,)","('((4+6)+(1/6))',)","(10, 0.16666666666666666)","('(4+6)', '(1/6)')",105.0,3
1206,"(9.833333333333334,)","('((4+6)-(1/6))',)","(10, 0.16666666666666666)","('(4+6)', '(1/6)')",105.0,3
1207,"(-9.833333333333334,)","('((1/6)-(4+6))',)","(10, 0.16666666666666666)","('(4+6)', '(1/6)')",105.0,3
1208,"(1.6666666666666665,)","('((4+6)*(1/6))',)","(10, 0.16666666666666666)","('(4+6)', '(1/6)')",105.0,3
1209,"(60.0,)","('((4+6)/(1/6))',)","(10, 0.16666666666666666)","('(4+6)', '(1/6)')",105.0,3
1210,"(0.016666666666666666,)","('((1/6)/(4+6))',)","(10, 0.16666666666666666)","('(4+6)', '(1/6)')",105.0,3
1211,"(10.166666666666666,)","('((1/6)+(4+6))',)","(10, 0.16666666666666666)","('(4+6)', '(1/6)')",105.0,3
1212,"(1.6666666666666665,)","('((1/6)*(4+6))',)","(10, 0.16666666666666666)","('(4+6)', '(1/6)')",105.0,3
1213,"(16.0,)","('((4+6)+(6/1))',)","(10, 6.0)","('(4+6)', '(6/1)')",106.0,3
1214,"(4.0,)","('((4+6)-(6/1))',)","(10, 6.0)","('(4+6)', '(6/1)')",106.0,3
1215,"(-4.0,)","('((6/1)-(4+6))',)","(10, 6.0)","('(4+6)', '(6/1)')",106.0,3
1216,"(60.0,)","('((4+6)*(6/1))',)","(10, 6.0)","('(4+6)', '(6/1)')",106.0,3
1217,"(1.6666666666666667,)","('((4+6)/(6/1))',)","(10, 6.0)","('(4+6)', '(6/1)')",106.0,3
1218,"(0.6,)","('((6/1)/(4+6))',)","(10, 6.0)","('(4+6)', '(6/1)')",106.0,3
1219,"(16.0,)","('((6/1)+(4+6))',)","(10, 6.0)","('(4+6)', '(6/1)')",106.0,3
1220,"(60.0,)","('((6/1)*(4+6))',)","(10, 6.0)","('(4+6)', '(6/1)')",106.0,3
1221,"(17,)","('(6+(1+(4+6)))',)","(6, 11)","('6', '(1+(4+6))')",107.0,3
1222,"(-5,)","('(6-(1+(4+6)))',)","(6, 11)","('6', '(1+(4+6))')",107.0,3
1223,"(5,)","('((1+(4+6))-6)',)","(6, 11)","('6', '(1+(4+6))')",107.0,3
1224,"(66,)","('(6*(1+(4+6)))',)","(6, 11)","('6', '(1+(4+6))')",107.0,3
1225,"(0.5454545454545454,)","('(6/(1+(4+6)))',)","(6, 11)","('6', '(1+(4+6))')",107.0,3
1226,"(1.8333333333333333,)","('((1+(4+6))/6)',)","(6, 11)","('6', '(1+(4+6))')",107.0,3
1227,"(17,)","('((1+(4+6))+6)',)","(6, 11)","('6', '(1+(4+6))')",107.0,3
1228,"(66,)","('((1+(4+6))*6)',)","(6, 11)","('6', '(1+(4+6))')",107.0,3
1229,"(-3,)","('(6+(1-(4+6)))',)","(6, -9)","('6', '(1-(4+6))')",108.0,3
1230,"(15,)","('(6-(1-(4+6)))',)","(6, -9)","('6', '(1-(4+6))')",108.0,3
1231,"(-15,)","('((1-(4+6))-6)',)","(6, -9)","('6', '(1-(4+6))')",108.0,3
1232,"(-54,)","('(6*(1-(4+6)))',)","(6, -9)","('6', '(1-(4+6))')",108.0,3
1233,"(-0.6666666666666666,)","('(6/(1-(4+6)))',)","(6, -9)","('6', '(1-(4+6))')",108.0,3
1234,"(-1.5,)","('((1-(4+6))/6)',)","(6, -9)","('6', '(1-(4+6))')",108.0,3
1235,"(-3,)","('((1-(4+6))+6)',)","(6, -9)","('6', '(1-(4+6))')",108.0,3
1236,"(-54,)","('((1-(4+6))*6)',)","(6, -9)","('6', '(1-(4+6))')",108.0,3
1237,"(15,)","('(6+((4+6)-1))',)","(6, 9)","('6', '((4+6)-1)')",109.0,3
1238,"(-3,)","('(6-((4+6)-1))',)","(6, 9)","('6', '((4+6)-1)')",109.0,3
1239,"(3,)","('(((4+6)-1)-6)',)","(6, 9)","('6', '((4+6)-1)')",109.0,3
1240,"(54,)","('(6*((4+6)-1))',)","(6, 9)","('6', '((4+6)-1)')",109.0,3
1241,"(0.6666666666666666,)","('(6/((4+6)-1))',)","(6, 9)","('6', '((4+6)-1)')",109.0,3
1242,"(1.5,)","('(((4+6)-1)/6)',)","(6, 9)","('6', '((4+6)-1)')",109.0,3
1243,"(15,)","('(((4+6)-1)+6)',)","(6, 9)","('6', '((4+6)-1)')",109.0,3
1244,"(54,)","('(((4+6)-1)*6)',)","(6, 9)","('6', '((4+6)-1)')",109.0,3
1245,"(16,)","('(6+(1*(4+6)))',)","(6, 10)","('6', '(1*(4+6))')",110.0,3
1246,"(-4,)","('(6-(1*(4+6)))',)","(6, 10)","('6', '(1*(4+6))')",110.0,3
1247,"(4,)","('((1*(4+6))-6)',)","(6, 10)","('6', '(1*(4+6))')",110.0,3
1248,"(60,)","('(6*(1*(4+6)))',)","(6, 10)","('6', '(1*(4+6))')",110.0,3
1249,"(0.6,)","('(6/(1*(4+6)))',)","(6, 10)","('6', '(1*(4+6))')",110.0,3
1250,"(1.6666666666666667,)","('((1*(4+6))/6)',)","(6, 10)","('6', '(1*(4+6))')",110.0,3
1251,"(16,)","('((1*(4+6))+6)',)","(6, 10)","('6', '(1*(4+6))')",110.0,3
1252,"(60,)","('((1*(4+6))*6)',)","(6, 10)","('6', '(1*(4+6))')",110.0,3
1253,"(6.1,)","('(6+(1/(4+6)))',)","(6, 0.1)","('6', '(1/(4+6))')",111.0,3
1254,"(5.9,)","('(6-(1/(4+6)))',)","(6, 0.1)","('6', '(1/(4+6))')",111.0,3
1255,"(-5.9,)","('((1/(4+6))-6)',)","(6, 0.1)","('6', '(1/(4+6))')",111.0,3
1256,"(0.6000000000000001,)","('(6*(1/(4+6)))',)","(6, 0.1)","('6', '(1/(4+6))')",111.0,3
1257,"(60.0,)","('(6/(1/(4+6)))',)","(6, 0.1)","('6', '(1/(4+6))')",111.0,3
1258,"(0.016666666666666666,)","('((1/(4+6))/6)',)","(6, 0.1)","('6', '(1/(4+6))')",111.0,3
1259,"(6.1,)","('((1/(4+6))+6)',)","(6, 0.1)","('6', '(1/(4+6))')",111.0,3
1260,"(0.6000000000000001,)","('((1/(4+6))*6)',)","(6, 0.1)","('6', '(1/(4+6))')",111.0,3
1261,"(16.0,)","('(6+((4+6)/1))',)","(6, 10.0)","('6', '((4+6)/1)')",112.0,3
1262,"(-4.0,)","('(6-((4+6)/1))',)","(6, 10.0)","('6', '((4+6)/1)')",112.0,3
1263,"(4.0,)","('(((4+6)/1)-6)',)","(6, 10.0)","('6', '((4+6)/1)')",112.0,3
1264,"(60.0,)","('(6*((4+6)/1))',)","(6, 10.0)","('6', '((4+6)/1)')",112.0,3
1265,"(0.6,)","('(6/((4+6)/1))',)","(6, 10.0)","('6', '((4+6)/1)')",112.0,3
1266,"(1.6666666666666667,)","('(((4+6)/1)/6)',)","(6, 10.0)","('6', '((4+6)/1)')",112.0,3
1267,"(16.0,)","('(((4+6)/1)+6)',)","(6, 10.0)","('6', '((4+6)/1)')",112.0,3
1268,"(60.0,)","('(((4+6)/1)*6)',)","(6, 10.0)","('6', '((4+6)/1)')",112.0,3
1269,"(17,)","('((4+6)+(6+1))',)","(10, 7)","('(4+6)', '(6+1)')",113.0,3
1270,"(3,)","('((4+6)-(6+1))',)","(10, 7)","('(4+6)', '(6+1)')",113.0,3
1271,"(-3,)","('((6+1)-(4+6))',)","(10, 7)","('(4+6)', '(6+1)')",113.0,3
1272,"(70,)","('((4+6)*(6+1))',)","(10, 7)","('(4+6)', '(6+1)')",113.0,3
1273,"(1.4285714285714286,)","('((4+6)/(6+1))',)","(10, 7)","('(4+6)', '(6+1)')",113.0,3
1274,"(0.7,)","('((6+1)/(4+6))',)","(10, 7)","('(4+6)', '(6+1)')",113.0,3
1275,"(17,)","('((6+1)+(4+6))',)","(10, 7)","('(4+6)', '(6+1)')",113.0,3
1276,"(70,)","('((6+1)*(4+6))',)","(10, 7)","('(4+6)', '(6+1)')",113.0,3
1277,"(16,)","('((4+6)+(6*1))',)","(10, 6)","('(4+6)', '(6*1)')",114.0,3
1278,"(4,)","('((4+6)-(6*1))',)","(10, 6)","('(4+6)', '(6*1)')",114.0,3
1279,"(-4,)","('((6*1)-(4+6))',)","(10, 6)","('(4+6)', '(6*1)')",114.0,3
1280,"(60,)","('((4+6)*(6*1))',)","(10, 6)","('(4+6)', '(6*1)')",114.0,3
1281,"(1.6666666666666667,)","('((4+6)/(6*1))',)","(10, 6)","('(4+6)', '(6*1)')",114.0,3
1282,"(0.6,)","('((6*1)/(4+6))',)","(10, 6)","('(4+6)', '(6*1)')",114.0,3
1283,"(16,)","('((6*1)+(4+6))',)","(10, 6)","('(4+6)', '(6*1)')",114.0,3
1284,"(60,)","('((6*1)*(4+6))',)","(10, 6)","('(4+6)', '(6*1)')",114.0,3
1285,"(17,)","('(1+(6+(4+6)))',)","(1, 16)","('1', '(6+(4+6))')",115.0,3
1286,"(-15,)","('(1-(6+(4+6)))',)","(1, 16)","('1', '(6+(4+6))')",115.0,3
1287,"(15,)","('((6+(4+6))-1)',)","(1, 16)","('1', '(6+(4+6))')",115.0,3
1288,"(16,)","('(1*(6+(4+6)))',)","(1, 16)","('1', '(6+(4+6))')",115.0,3
1289,"(0.0625,)","('(1/(6+(4+6)))',)","(1, 16)","('1', '(6+(4+6))')",115.0,3
1290,"(16.0,)","('((6+(4+6))/1)',)","(1, 16)","('1', '(6+(4+6))')",115.0,3
1291,"(17,)","('((6+(4+6))+1)',)","(1, 16)","('1', '(6+(4+6))')",115.0,3
1292,"(16,)","('((6+(4+6))*1)',)","(1, 16)","('1', '(6+(4+6))')",115.0,3
1293,"(-3,)","('(1+(6-(4+6)))',)","(1, -4)","('1', '(6-(4+6))')",116.0,3
1294,"(5,)","('(1-(6-(4+6)))',)","(1, -4)","('1', '(6-(4+6))')",116.0,3
1295,"(-5,)","('((6-(4+6))-1)',)","(1, -4)","('1', '(6-(4+6))')",116.0,3
1296,"(-4,)","('(1*(6-(4+6)))',)","(1, -4)","('1', '(6-(4+6))')",116.0,3
1297,"(-0.25,)","('(1/(6-(4+6)))',)","(1, -4)","('1', '(6-(4+6))')",116.0,3
1298,"(-4.0,)","('((6-(4+6))/1)',)","(1, -4)","('1', '(6-(4+6))')",116.0,3
1299,"(-3,)","('((6-(4+6))+1)',)","(1, -4)","('1', '(6-(4+6))')",116.0,3
1300,"(-4,)","('((6-(4+6))*1)',)","(1, -4)","('1', '(6-(4+6))')",116.0,3
1301,"(5,)","('(1+((4+6)-6))',)","(1, 4)","('1', '((4+6)-6)')",117.0,3
1302,"(-3,)","('(1-((4+6)-6))',)","(1, 4)","('1', '((4+6)-6)')",117.0,3
1303,"(3,)","('(((4+6)-6)-1)',)","(1, 4)","('1', '((4+6)-6)')",117.0,3
1304,"(4,)","('(1*((4+6)-6))',)","(1, 4)","('1', '((4+6)-6)')",117.0,3
1305,"(0.25,)","('(1/((4+6)-6))',)","(1, 4)","('1', '((4+6)-6)')",117.0,3
1306,"(4.0,)","('(((4+6)-6)/1)',)","(1, 4)","('1', '((4+6)-6)')",117.0,3
1307,"(5,)","('(((4+6)-6)+1)',)","(1, 4)","('1', '((4+6)-6)')",117.0,3
1308,"(4,)","('(((4+6)-6)*1)',)","(1, 4)","('1', '((4+6)-6)')",117.0,3
1309,"(61,)","('(1+(6*(4+6)))',)","(1, 60)","('1', '(6*(4+6))')",118.0,3
1310,"(-59,)","('(1-(6*(4+6)))',)","(1, 60)","('1', '(6*(4+6))')",118.0,3
1311,"(59,)","('((6*(4+6))-1)',)","(1, 60)","('1', '(6*(4+6))')",118.0,3
1312,"(60,)","('(1*(6*(4+6)))',)","(1, 60)","('1', '(6*(4+6))')",118.0,3
1313,"(0.016666666666666666,)","('(1/(6*(4+6)))',)","(1, 60)","('1', '(6*(4+6))')",118.0,3
1314,"(60.0,)","('((6*(4+6))/1)',)","(1, 60)","('1', '(6*(4+6))')",118.0,3
1315,"(61,)","('((6*(4+6))+1)',)","(1, 60)","('1', '(6*(4+6))')",118.0,3
1316,"(60,)","('((6*(4+6))*1)',)","(1, 60)","('1', '(6*(4+6))')",118.0,3
1317,"(1.6,)","('(1+(6/(4+6)))',)","(1, 0.6)","('1', '(6/(4+6))')",119.0,3
1318,"(0.4,)","('(1-(6/(4+6)))',)","(1, 0.6)","('1', '(6/(4+6))')",119.0,3
1319,"(-0.4,)","('((6/(4+6))-1)',)","(1, 0.6)","('1', '(6/(4+6))')",119.0,3
1320,"(0.6,)","('(1*(6/(4+6)))',)","(1, 0.6)","('1', '(6/(4+6))')",119.0,3
1321,"(1.6666666666666667,)","('(1/(6/(4+6)))',)","(1, 0.6)","('1', '(6/(4+6))')",119.0,3
1322,"(0.6,)","('((6/(4+6))/1)',)","(1, 0.6)","('1', '(6/(4+6))')",119.0,3
1323,"(1.6,)","('((6/(4+6))+1)',)","(1, 0.6)","('1', '(6/(4+6))')",119.0,3
1324,"(0.6,)","('((6/(4+6))*1)',)","(1, 0.6)","('1', '(6/(4+6))')",119.0,3
1325,"(2.666666666666667,)","('(1+((4+6)/6))',)","(1, 1.6666666666666667)","('1', '((4+6)/6)')",120.0,3
1326,"(-0.6666666666666667,)","('(1-((4+6)/6))',)","(1, 1.6666666666666667)","('1', '((4+6)/6)')",120.0,3
1327,"(0.6666666666666667,)","('(((4+6)/6)-1)',)","(1, 1.6666666666666667)","('1', '((4+6)/6)')",120.0,3
1328,"(1.6666666666666667,)","('(1*((4+6)/6))',)","(1, 1.6666666666666667)","('1', '((4+6)/6)')",120.0,3
1329,"(0.6,)","('(1/((4+6)/6))',)","(1, 1.6666666666666667)","('1', '((4+6)/6)')",120.0,3
1330,"(1.6666666666666667,)","('(((4+6)/6)/1)',)","(1, 1.6666666666666667)","('1', '((4+6)/6)')",120.0,3
1331,"(2.666666666666667,)","('(((4+6)/6)+1)',)","(1, 1.6666666666666667)","('1', '((4+6)/6)')",120.0,3
1332,"(1.6666666666666667,)","('(((4+6)/6)*1)',)","(1, 1.6666666666666667)","('1', '((4+6)/6)')",120.0,3
1333,"(17,)","('(6+((4+6)+1))',)","(6, 11)","('6', '((4+6)+1)')",121.0,3
1334,"(-5,)","('(6-((4+6)+1))',)","(6, 11)","('6', '((4+6)+1)')",121.0,3
1335,"(5,)","('(((4+6)+1)-6)',)","(6, 11)","('6', '((4+6)+1)')",121.0,3
1336,"(66,)","('(6*((4+6)+1))',)","(6, 11)","('6', '((4+6)+1)')",121.0,3
1337,"(0.5454545454545454,)","('(6/((4+6)+1))',)","(6, 11)","('6', '((4+6)+1)')",121.0,3
1338,"(1.8333333333333333,)","('(((4+6)+1)/6)',)","(6, 11)","('6', '((4+6)+1)')",121.0,3
1339,"(17,)","('(((4+6)+1)+6)',)","(6, 11)","('6', '((4+6)+1)')",121.0,3
1340,"(66,)","('(((4+6)+1)*6)',)","(6, 11)","('6', '((4+6)+1)')",121.0,3
1341,"(16,)","('(6+((4+6)*1))',)","(6, 10)","('6', '((4+6)*1)')",122.0,3
1342,"(-4,)","('(6-((4+6)*1))',)","(6, 10)","('6', '((4+6)*1)')",122.0,3
1343,"(4,)","('(((4+6)*1)-6)',)","(6, 10)","('6', '((4+6)*1)')",122.0,3
1344,"(60,)","('(6*((4+6)*1))',)","(6, 10)","('6', '((4+6)*1)')",122.0,3
1345,"(0.6,)","('(6/((4+6)*1))',)","(6, 10)","('6', '((4+6)*1)')",122.0,3
1346,"(1.6666666666666667,)","('(((4+6)*1)/6)',)","(6, 10)","('6', '((4+6)*1)')",122.0,3
1347,"(16,)","('(((4+6)*1)+6)',)","(6, 10)","('6', '((4+6)*1)')",122.0,3
1348,"(60,)","('(((4+6)*1)*6)',)","(6, 10)","('6', '((4+6)*1)')",122.0,3
1349,"(17,)","('(1+((4+6)+6))',)","(1, 16)","('1', '((4+6)+6)')",123.0,3
1350,"(-15,)","('(1-((4+6)+6))',)","(1, 16)","('1', '((4+6)+6)')",123.0,3
1351,"(15,)","('(((4+6)+6)-1)',)","(1, 16)","('1', '((4+6)+6)')",123.0,3
1352,"(16,)","('(1*((4+6)+6))',)","(1, 16)","('1', '((4+6)+6)')",123.0,3
1353,"(0.0625,)","('(1/((4+6)+6))',)","(1, 16)","('1', '((4+6)+6)')",123.0,3
1354,"(16.0,)","('(((4+6)+6)/1)',)","(1, 16)","('1', '((4+6)+6)')",123.0,3
1355,"(17,)","('(((4+6)+6)+1)',)","(1, 16)","('1', '((4+6)+6)')",123.0,3
1356,"(16,)","('(((4+6)+6)*1)',)","(1, 16)","('1', '((4+6)+6)')",123.0,3
1357,"(61,)","('(1+((4+6)*6))',)","(1, 60)","('1', '((4+6)*6)')",124.0,3
1358,"(-59,)","('(1-((4+6)*6))',)","(1, 60)","('1', '((4+6)*6)')",124.0,3
1359,"(59,)","('(((4+6)*6)-1)',)","(1, 60)","('1', '((4+6)*6)')",124.0,3
1360,"(60,)","('(1*((4+6)*6))',)","(1, 60)","('1', '((4+6)*6)')",124.0,3
1361,"(0.016666666666666666,)","('(1/((4+6)*6))',)","(1, 60)","('1', '((4+6)*6)')",124.0,3
1362,"(60.0,)","('(((4+6)*6)/1)',)","(1, 60)","('1', '((4+6)*6)')",124.0,3
1363,"(61,)","('(((4+6)*6)+1)',)","(1, 60)","('1', '((4+6)*6)')",124.0,3
1364,"(60,)","('(((4+6)*6)*1)',)","(1, 60)","('1', '((4+6)*6)')",124.0,3
1365,"(5,)","('((4-6)+(1+6))',)","(-2, 7)","('(4-6)', '(1+6)')",125.0,3
1366,"(-9,)","('((4-6)-(1+6))',)","(-2, 7)","('(4-6)', '(1+6)')",125.0,3
1367,"(9,)","('((1+6)-(4-6))',)","(-2, 7)","('(4-6)', '(1+6)')",125.0,3
1368,"(-14,)","('((4-6)*(1+6))',)","(-2, 7)","('(4-6)', '(1+6)')",125.0,3
1369,"(-0.2857142857142857,)","('((4-6)/(1+6))',)","(-2, 7)","('(4-6)', '(1+6)')",125.0,3
1370,"(-3.5,)","('((1+6)/(4-6))',)","(-2, 7)","('(4-6)', '(1+6)')",125.0,3
1371,"(5,)","('((1+6)+(4-6))',)","(-2, 7)","('(4-6)', '(1+6)')",125.0,3
1372,"(-14,)","('((1+6)*(4-6))',)","(-2, 7)","('(4-6)', '(1+6)')",125.0,3
1373,"(-7,)","('((4-6)+(1-6))',)","(-2, -5)","('(4-6)', '(1-6)')",126.0,3
1374,"(3,)","('((4-6)-(1-6))',)","(-2, -5)","('(4-6)', '(1-6)')",126.0,3
1375,"(-3,)","('((1-6)-(4-6))',)","(-2, -5)","('(4-6)', '(1-6)')",126.0,3
1376,"(10,)","('((4-6)*(1-6))',)","(-2, -5)","('(4-6)', '(1-6)')",126.0,3
1377,"(0.4,)","('((4-6)/(1-6))',)","(-2, -5)","('(4-6)', '(1-6)')",126.0,3
1378,"(2.5,)","('((1-6)/(4-6))',)","(-2, -5)","('(4-6)', '(1-6)')",126.0,3
1379,"(-7,)","('((1-6)+(4-6))',)","(-2, -5)","('(4-6)', '(1-6)')",126.0,3
1380,"(10,)","('((1-6)*(4-6))',)","(-2, -5)","('(4-6)', '(1-6)')",126.0,3
1381,"(3,)","('((4-6)+(6-1))',)","(-2, 5)","('(4-6)', '(6-1)')",127.0,3
1382,"(-7,)","('((4-6)-(6-1))',)","(-2, 5)","('(4-6)', '(6-1)')",127.0,3
1383,"(7,)","('((6-1)-(4-6))',)","(-2, 5)","('(4-6)', '(6-1)')",127.0,3
1384,"(-10,)","('((4-6)*(6-1))',)","(-2, 5)","('(4-6)', '(6-1)')",127.0,3
1385,"(-0.4,)","('((4-6)/(6-1))',)","(-2, 5)","('(4-6)', '(6-1)')",127.0,3
1386,"(-2.5,)","('((6-1)/(4-6))',)","(-2, 5)","('(4-6)', '(6-1)')",127.0,3
1387,"(3,)","('((6-1)+(4-6))',)","(-2, 5)","('(4-6)', '(6-1)')",127.0,3
1388,"(-10,)","('((6-1)*(4-6))',)","(-2, 5)","('(4-6)', '(6-1)')",127.0,3
1389,"(4,)","('((4-6)+(1*6))',)","(-2, 6)","('(4-6)', '(1*6)')",128.0,3
1390,"(-8,)","('((4-6)-(1*6))',)","(-2, 6)","('(4-6)', '(1*6)')",128.0,3
1391,"(8,)","('((1*6)-(4-6))',)","(-2, 6)","('(4-6)', '(1*6)')",128.0,3
1392,"(-12,)","('((4-6)*(1*6))',)","(-2, 6)","('(4-6)', '(1*6)')",128.0,3
1393,"(-0.3333333333333333,)","('((4-6)/(1*6))',)","(-2, 6)","('(4-6)', '(1*6)')",128.0,3
1394,"(-3.0,)","('((1*6)/(4-6))',)","(-2, 6)","('(4-6)', '(1*6)')",128.0,3
1395,"(4,)","('((1*6)+(4-6))',)","(-2, 6)","('(4-6)', '(1*6)')",128.0,3
1396,"(-12,)","('((1*6)*(4-6))',)","(-2, 6)","('(4-6)', '(1*6)')",128.0,3
1397,"(-1.8333333333333333,)","('((4-6)+(1/6))',)","(-2, 0.16666666666666666)","('(4-6)', '(1/6)')",129.0,3
1398,"(-2.1666666666666665,)","('((4-6)-(1/6))',)","(-2, 0.16666666666666666)","('(4-6)', '(1/6)')",129.0,3
1399,"(2.1666666666666665,)","('((1/6)-(4-6))',)","(-2, 0.16666666666666666)","('(4-6)', '(1/6)')",129.0,3
1400,"(-0.3333333333333333,)","('((4-6)*(1/6))',)","(-2, 0.16666666666666666)","('(4-6)', '(1/6)')",129.0,3
1401,"(-12.0,)","('((4-6)/(1/6))',)","(-2, 0.16666666666666666)","('(4-6)', '(1/6)')",129.0,3
1402,"(-0.08333333333333333,)","('((1/6)/(4-6))',)","(-2, 0.16666666666666666)","('(4-6)', '(1/6)')",129.0,3
1403,"(-1.8333333333333333,)","('((1/6)+(4-6))',)","(-2, 0.16666666666666666)","('(4-6)', '(1/6)')",129.0,3
1404,"(-0.3333333333333333,)","('((1/6)*(4-6))',)","(-2, 0.16666666666666666)","('(4-6)', '(1/6)')",129.0,3
1405,"(4.0,)","('((4-6)+(6/1))',)","(-2, 6.0)","('(4-6)', '(6/1)')",130.0,3
1406,"(-8.0,)","('((4-6)-(6/1))',)","(-2, 6.0)","('(4-6)', '(6/1)')",130.0,3
1407,"(8.0,)","('((6/1)-(4-6))',)","(-2, 6.0)","('(4-6)', '(6/1)')",130.0,3
1408,"(-12.0,)","('((4-6)*(6/1))',)","(-2, 6.0)","('(4-6)', '(6/1)')",130.0,3
1409,"(-0.3333333333333333,)","('((4-6)/(6/1))',)","(-2, 6.0)","('(4-6)', '(6/1)')",130.0,3
1410,"(-3.0,)","('((6/1)/(4-6))',)","(-2, 6.0)","('(4-6)', '(6/1)')",130.0,3
1411,"(4.0,)","('((6/1)+(4-6))',)","(-2, 6.0)","('(4-6)', '(6/1)')",130.0,3
1412,"(-12.0,)","('((6/1)*(4-6))',)","(-2, 6.0)","('(4-6)', '(6/1)')",130.0,3
1413,"(5,)","('(6+(1+(4-6)))',)","(6, -1)","('6', '(1+(4-6))')",131.0,3
1414,"(7,)","('(6-(1+(4-6)))',)","(6, -1)","('6', '(1+(4-6))')",131.0,3
1415,"(-7,)","('((1+(4-6))-6)',)","(6, -1)","('6', '(1+(4-6))')",131.0,3
1416,"(-6,)","('(6*(1+(4-6)))',)","(6, -1)","('6', '(1+(4-6))')",131.0,3
1417,"(-6.0,)","('(6/(1+(4-6)))',)","(6, -1)","('6', '(1+(4-6))')",131.0,3
1418,"(-0.16666666666666666,)","('((1+(4-6))/6)',)","(6, -1)","('6', '(1+(4-6))')",131.0,3
1419,"(5,)","('((1+(4-6))+6)',)","(6, -1)","('6', '(1+(4-6))')",131.0,3
1420,"(-6,)","('((1+(4-6))*6)',)","(6, -1)","('6', '(1+(4-6))')",131.0,3
1421,"(9,)","('(6+(1-(4-6)))',)","(6, 3)","('6', '(1-(4-6))')",132.0,3
1422,"(3,)","('(6-(1-(4-6)))',)","(6, 3)","('6', '(1-(4-6))')",132.0,3
1423,"(-3,)","('((1-(4-6))-6)',)","(6, 3)","('6', '(1-(4-6))')",132.0,3
1424,"(18,)","('(6*(1-(4-6)))',)","(6, 3)","('6', '(1-(4-6))')",132.0,3
1425,"(2.0,)","('(6/(1-(4-6)))',)","(6, 3)","('6', '(1-(4-6))')",132.0,3
1426,"(0.5,)","('((1-(4-6))/6)',)","(6, 3)","('6', '(1-(4-6))')",132.0,3
1427,"(9,)","('((1-(4-6))+6)',)","(6, 3)","('6', '(1-(4-6))')",132.0,3
1428,"(18,)","('((1-(4-6))*6)',)","(6, 3)","('6', '(1-(4-6))')",132.0,3
